location,site,habitat,year,ttm,plot.code,teabag.pair,tea.type,length,code,initial.weight,final.weight,soil.moisture.1,soil.moisture.2,soil.moisture.m,moss.thickness,litter.thickness,shrubs,soil.depth,burial.date,recovery.date,days.buried,ph.1,ph.2,ph.m,comments
Iceland,Thingvellir,moss heath,2017,control,TC1,a,G,F,TC1.aG,2.0591,0.728,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC1,b,G,F,TC1.bG,2.0458,NA,,,,,,,,6/8/2017,6/12/2018,369,,,,bag lost
Iceland,Thingvellir,moss heath,2017,control,TC1,a,R,F,TC1.aR,2.1211,1.2255,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC1,b,R,F,TC1.bR,2.1020,1.3902,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC2,a,G,F,TC2.aG,2.1439,0.8418,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC2,b,G,F,TC2.bG,2.0667,0.634,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC2,a,R,F,TC2.aR,2.0933,1.4304,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC2,b,R,F,TC2.bR,2.1200,1.3514,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC3,a,G,F,TC3.aG,2.1141,NA,,,,,,,,6/8/2017,6/12/2018,369,,,,bag lost
Iceland,Thingvellir,moss heath,2017,control,TC3,b,G,F,TC3.bG,2.0347,0.6845,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC3,a,R,F,TC3.aR,2.0697,NA,,,,,,,,6/8/2017,6/12/2018,369,,,,bag lost
Iceland,Thingvellir,moss heath,2017,control,TC3,b,R,F,TC3.bR,2.1175,1.3522,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC4,a,G,F,TC4.aG,2.0105,0.7873,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC4,b,G,F,TC4.bG,1.9703,0.7244,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC4,a,R,F,TC4.aR,2.0927,1.3855,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC4,b,R,F,TC4.bR,2.1318,1.3979,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC5,a,G,F,TC5.aG,2.0892,0.8153,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC5,b,G,F,TC5.bG,1.9167,0.6546,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC5,a,R,F,TC5.aR,2.1398,1.4103,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC5,b,R,F,TC5.bR,2.0693,1.4458,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC6,a,G,F,TC6.aG,2.0823,0.81,,,,,,,,6/8/2017,6/12/2018,369,,,,
Iceland,Thingvellir,moss heath,2017,control,TC6,b,G,F,TC6.bG,1.9869,0.5977,,,,,,,,6/8/2017,6/12/2018,369,,,,
