location,site,habitat,year,ttm,plot.code,teabag.pair,tea.type,length,code,initial.weight,final.weight,soil.moisture.1,soil.moisture.2,soil.moisture.m,moss.thickness,litter.thickness,shrubs,soil.depth,burial.date,recovery.date,days.buried,ph.1,ph.2,ph.m,comments
Endalen,NNW moss,B1,2017,control,B1,a,G,F,B1.aGF,2.1118,,,,56.7,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B1,2017,control,B1,b,G,F,B1.bGF,2.0792,,,,22.4,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B1,2017,control,B1,a,R,F,B1.aRF,2.2541,,,,56.7,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B1,2017,control,B1,b,R,F,B1.bRF,2.2138,,,,22.4,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B10,2017,warming,B10,a,G,F,B10.aGF,2.1053,,,,33.4,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B10,2017,warming,B10,b,G,F,B10.bGF,2.1492,,,,30.3,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B10,2017,warming,B10,a,R,F,B10.aRF,2.2168,,,,33.4,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B10,2017,warming,B10,b,R,F,B10.bRF,2.2496,,,,30.3,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B11,2017,exclosure,B11,a,G,F,B11.aGF,2.0072,,,,43,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B11,2017,exclosure,B11,b,G,F,B11.bGF,1.9994,,,,45.3,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B11,2017,exclosure,B11,a,R,F,B11.aRF,2.2029,,,,43,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B11,2017,exclosure,B11,b,R,F,B11.bRF,2.195,,,,45.3,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B12,2017,control,B12,a,G,F,B12.aGF,1.9745,,,,42.2,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B12,2017,control,B12,b,G,F,B12.bGF,1.9952,,,,26.7,,,,,6/25/2017,7/8/2018,378,,,,
Endalen,NNW moss,B12,2017,control,B12,a,R,F,B12.aRF,2.1751,,,,42.2,,,,,6/25/2017,7/8/2018,378,,,,
