location	site	habitat	year	ttm	plot.code	teabag.pair	tea.type	length	code	initial.weight	final.weight	soil.moisture.1	soil.moisture.2	soil.moisture.m	moss.thickness	litter.thickness	shrubs	soil.depth	burial.date	recovery.date	days.buried	ph.1	ph.2	ph.m	comments
Iceland	Audkuluheidi	shrub heath	2016	control	AC8	a	G	3	AC8.aG3	2.0563	0.9914			39	9				12.6.2016	25.9.2016	105	5.66	5.68	5.67	
Iceland	Audkuluheidi	shrub heath	2016	control	AC8	b	G	3	AC8.bG3	2.1003	1.1124			36.4	6.5				12.6.2016	25.9.2016	105	5.93	5.92	5.93	
Iceland	Audkuluheidi	shrub heath	2016	control	AC8	a	R	3	AC8.aR3	2.0831	1.6104			39	5.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC8	b	R	3	AC8.bR3	2.1111	1.6238			36.4	2				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC9	a	G	3	AC9.aG3	2.0682	0.9199			44.8	3				12.6.2016	25.9.2016	105	5.58	5.57	5.58	
Iceland	Audkuluheidi	shrub heath	2016	control	AC9	b	G	3	AC9.bG3	2.1107	1.0911			46.5	4				12.6.2016	25.9.2016	105	5.75	5.74	5.75	
Iceland	Audkuluheidi	shrub heath	2016	control	AC9	a	R	3	AC9.aR3	2.1361	1.594			44.8	5.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	control	AC9	b	R	3	AC9.bR3	2.1128	1.6057			46.5	5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG1	a	G	3	AG1.aG3	2.1145	1.1084			36.8	5				12.6.2016	25.9.2016	105	6.03	6.21	6.12	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG1	b	G	3	AG1.bG3	2.0379	1.0376			30.4	2		BETNAN		12.6.2016	25.9.2016	105	6.12	6.13	6.13	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG1	a	R	3	AG1.aR3	2.1465	NA			36.8	4				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG1	b	R	3	AG1.bR3	2.0998	1.5714			30.4	5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG10	a	G	3	AG10.aG3	2.1532	1.0781			40.6	5				12.6.2016	25.9.2016	105	5.83	5.83	5.83	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG10	b	G	3	AG10.bG3	2.0061	0.9172			33.4	3				12.6.2016	25.9.2016	105	5.95	5.84	5.90	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG10	a	R	3	AG10.aR3	2.1556	1.5508			40.6	3				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG10	b	R	3	AG10.bR3	2.0793	1.5841			33.4	6.5				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG2	a	G	3	AG2.aG3	2.1861	1.0713			26.4	6				12.6.2016	25.9.2016	105	5.77	5.91	5.84	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG2	b	G	3	AG2.bG3	1.9756	1.0314			31.6	2		BETNAN		12.6.2016	25.9.2016	105	5.96	6.06	6.01	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG2	a	R	3	AG2.aR3	0.1578	1.5684			26.4	7		BETNAN		12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG2	b	R	3	AG2.bR3	2.1814	1.6038			31.6	2				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG3	a	G	3	AG3.aG3	2.1162	1.0071			37.9	5				12.6.2016	25.9.2016	105	6.19	6.18	6.19	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG3	b	G	3	AG3.bG3	1.9547	0.9814			30.1	5				12.6.2016	25.9.2016	105	6.06	5.99	6.03	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG3	a	R	3	AG3.aR3	2.1668	1.6432			37.9	10				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG3	b	R	3	AG3.bR3	2.1681	1.6326			30.1	4				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG4	a	G	3	AG4.aG3	2.0845	1.0041			34.8	2				12.6.2016	25.9.2016	105	5.87	6.01	5.94	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG4	b	G	3	AG4.bG3	2.1689	1.0748			43.4	5				12.6.2016	25.9.2016	105	5.91	5.88	5.90	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG4	a	R	3	AG4.aR3	2.1223	1.6183			34.8	1				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG4	b	R	3	AG4.bR3	2.2096	1.6218			42.4	2				12.6.2016	25.9.2016	105				
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG5	a	G	3	AG5.aG3	2.0609	0.9751			44.6	5				12.6.2016	25.9.2016	105	6.06	6.12	6.09	
Iceland	Audkuluheidi	shrub heath	2016	grazed	AG5	b	G	3	AG5.bG3	1.9889	1.0596			50.1	5				12.6.2016	25.9.2016	105	6.13	6.15	6.14	
